start_station_name,num_starts
"Lisson Grove, St. John's Wood",16557
"Grant Road Central, Clapham Junction",1716
"Walworth Road, Southwark",3452
"Garnet Street, Shadwell",26007
"Riverlight South, Nine Elms",8556
"Falkirk Street, Hoxton",23804
"The Tennis Courts, Regent's Park",3303
"Sirdar Road, Avondale",6723
"Kennington Station, Kennington",18210
"Southerton Road, Hammersmith",14810
"Killick Street, Kings Cross",1881
"Everington Street, Fulham",19613
"Butler Place, Westminster",25156
"Altab Ali Park, Whitechapel",2570
"Orsett Terrace, Bayswater",9280
"Victory place, Walworth",2834
"Colet Gardens, Hammersmith",3030
"Castalia Square, Cubitt Town",2751
"Bevington Road, North Kensington",1990
"South Quay East, Canary Wharf",1894
"Durant Street, Bethnal Green",28772
"Marloes Road, Kensington",13817
"Queensdale Road, Shepherd's Bush",6994
"Limburg Road, Clapham Common",466
"Here East South, Queen Elizabeth Olympic Park",267
"Lansdowne Walk, Notting Hill",827
"Walmer Road, Notting Hill",1422
"Hansard Mews, Shepherds Bush",1898
"Spanish Road, Wandsworth",666
"Sugden Road, Battersea",1554
"Denyer Street, Knightsbridge",13946
"Rectory Square, Stepney",18338
"Lambeth Palace Road, Waterloo",18298
"Selby Street, Whitechapel",11409
"Cleveland Gardens, Bayswater",21754
"Clifford Street, Mayfair",21246
"Lodge Road, St. John's Wood",5416
"Esmond Street, Putney",5009
"Hibbert Street, Clapham Junction",7145
"Clapham Common Northside, Clapham Common",1954
"St Katharines Way, Tower",3323
"Drayton Gardens, Chelsea",4808
"Normand Park, Fulham",3430
"Birkenhead Street, King's Cross",16320
"Breams Buildings, Holborn",18695
"Upper Richmond Road, East Putney",978
"Halford Road, West Kensington",11166
"Oval Way, Vauxhall",6994
"Lambeth Road, Vauxhall",19433
"Abingdon Green, Great College Street",4669
"Baldwin Street, St. Luke's",32931
"Lollard Street, Vauxhall",24227
"Westfield Eastern Access Road, Shepherd's Bush",778
"Stewart's Road, Nine Elms",663
"Sheepcote Lane, Battersea",15340
"Bradmead, Nine Elms",1792
"Nantes Close, Wandsworth",3655
"Greycoat Street , Westminster",15634
"Thessaly Road North, Wandsworth Road",8467
"Stockwell Roundabout, Stockwell",3609
"Queen Marys, Mile End",4171
"Columbia Road, Weavers",5027
"Cleveland Way, Bethnal Green",3709
"Millbank House, Pimlico",3799
"King Edward Walk, Waterloo",10252
"Bethnal Green Gardens, Bethnal Green",3323
"Victoria and Albert Museum, Cromwell Road",1451
"Gun Makers Lane, Old Ford",3035
"Cantrell Road, Bow",8057
"Oval Way, Lambeth",870
"London Zoo, Regents Park",2391
"Prince Albert Road, Regent's Park",3465
"Kingsway, Covent Garden",2351
"Contact Centre, Southbury House",60
"Limerston Street, Chelsea",5488
"Harper Road, Borough",1660
"Kensington Town Hall, Kensington",15042
"Russell Gardens, Holland Park",1463
"Albany Street, Regent's Park",3242
"Ingrave Street, Battersea",635
"Battersea Power Station, Battersea Park",1743
"Sidney Street, Stepney",3575
"Fawcett Close, Battersea",3175
"Austin Road, Battersea",3184
"Cadogan Gardens, Sloane Square",4726
"Ladbroke Grove Central, Notting Hill",896
"Central House, Whitechapel",817
"Thessaly Road North, Nine Elms",1069
"Clarges Street, West End",1416
"St. Mary and St. Michael Church, Stepney",820
"St Martin's Close, Camden Town",1475
"Waterloo Roundabout, Waterloo",1678
"South Quay West, Canary Wharf",685
"Lansdowne Way Bus Garage, Stockwell",2232
"Churchill Place, Canary Wharf",2208
"New Road  2, Whitechapel",3342
"Great Dover Street, Borough",3928
"St John's Park, Cubitt Town",449
"Strata, Southwark",2223
"Halford Road, Fulham",785
"Victory Place, Walworth",727
"Blackfriars road, Southwark",5
"Theobalds Road , Holborn",5491
"Coborn Street, Mile End",340
Pop Up Dock 1,67
Mechanical Workshop Penton,381
"Monier Road, Newham",34
Pop Up Dock 2,31
Monier Road,11
LSP2,4
PENTON STREET COMMS TEST TERMINAL _ CONTACT MATT McNULTY,1
LSP1,1
